,loss,accuracy,val_loss,val_accuracy
1,0.326386154,0.042187501,0.151655257,0.079999998
2,0.193159804,0.046093751,0.148228526,0.085000001
3,0.176691115,0.06640625,0.147566378,0.097499996
4,0.173697248,0.075781249,0.147099271,0.109999999
5,0.167444587,0.075000003,0.147696793,0.102499999
6,0.166572735,0.085156247,0.147641197,0.119999997
7,0.161124602,0.107031249,0.145562664,0.1175
8,0.161157161,0.090625003,0.145483091,0.104999997
9,0.159689337,0.122656249,0.144956738,0.104999997
10,0.157423347,0.109375,0.145960107,0.104999997
11,0.157442659,0.107812501,0.144674391,0.104999997
12,0.154325575,0.121875003,0.14522849,0.104999997
13,0.154168695,0.117968753,0.148475409,0.102499999
14,0.153050065,0.119531251,0.14626877,0.097499996
15,0.152436584,0.108593747,0.144954666,0.104999997
16,0.151471883,0.141406253,0.144390017,0.102499999
17,0.15132761,0.115625001,0.147187456,0.1175
18,0.149919271,0.131249994,0.145932198,0.100000001
19,0.148300827,0.141406253,0.145735443,0.104999997
20,0.148676082,0.138281256,0.144380093,0.102499999
21,0.14650318,0.1328125,0.147052422,0.100000001
22,0.146907717,0.1484375,0.1452052,0.107500002
23,0.145132512,0.146093756,0.144912213,0.104999997
24,0.145039186,0.157031253,0.144453719,0.107500002
25,0.145432442,0.146093756,0.145115763,0.109999999
26,0.143021375,0.161718756,0.145491749,0.104999997
27,0.143223494,0.154687494,0.14593716,0.102499999
28,0.140617058,0.178124994,0.146692425,0.102499999
29,0.142349035,0.178906247,0.148045316,0.102499999
30,0.138736039,0.196875006,0.147756517,0.097499996
31,0.1394054,0.1796875,0.147853225,0.115000002
32,0.135423243,0.23046875,0.147710204,0.1175
33,0.137602851,0.200000003,0.147435382,0.104999997
34,0.134115681,0.22265625,0.150631383,0.094999999
35,0.132358521,0.231250003,0.150803372,0.102499999
36,0.130430847,0.259375006,0.150764868,0.107500002
37,0.127710164,0.264843762,0.151890099,0.100000001
38,0.126010448,0.274218738,0.15483436,0.097499996
39,0.127052307,0.276562512,0.155088618,0.104999997
40,0.1226146,0.317187488,0.157414421,0.102499999
41,0.121402308,0.303124994,0.156354755,0.104999997
42,0.118766092,0.338281244,0.159853473,0.100000001
43,0.117438935,0.321093738,0.160843223,0.100000001
44,0.115627073,0.3515625,0.162354216,0.102499999
45,0.112524532,0.385937512,0.160796106,0.085000001
46,0.109049223,0.414843738,0.162984803,0.097499996
47,0.110307515,0.401562512,0.164424643,0.092500001
48,0.110268891,0.379687488,0.167029426,0.079999998
49,0.105706535,0.421093762,0.165963858,0.082500003
50,0.104373097,0.453125,0.167756468,0.087499999
51,0.101487279,0.45703125,0.170463338,0.100000001
52,0.099722043,0.474218756,0.171315387,0.090000004
53,0.098355182,0.478906244,0.172303975,0.104999997
54,0.097836904,0.483593762,0.172931552,0.097499996
55,0.097960263,0.5,0.173701063,0.082500003
56,0.092208311,0.512499988,0.180988163,0.090000004
57,0.091257803,0.55078125,0.177734435,0.094999999
58,0.09121719,0.532031238,0.181597784,0.094999999
59,0.086740002,0.555468738,0.183974802,0.092500001
60,0.087908193,0.540624976,0.177110195,0.087499999
61,0.08540006,0.582812488,0.184855923,0.104999997
62,0.086257122,0.572656274,0.184556544,0.094999999
63,0.084076591,0.583593726,0.18363671,0.109999999
64,0.082689799,0.58984375,0.18423374,0.104999997
65,0.083623886,0.592187524,0.19178465,0.092500001
66,0.079742357,0.609375,0.190288976,0.077500001
67,0.083101884,0.596093774,0.189194977,0.077500001
68,0.078861997,0.62109375,0.185796782,0.100000001
69,0.079045959,0.619531274,0.193406656,0.107500002
70,0.07486029,0.63671875,0.195888847,0.094999999
71,0.073569946,0.66015625,0.199779242,0.079999998
72,0.074955329,0.657812476,0.20411016,0.097499996
73,0.073229522,0.659375012,0.197110996,0.087499999
74,0.071445964,0.655468762,0.200977758,0.079999998
75,0.074263789,0.6484375,0.19656463,0.090000004
76,0.070538245,0.66796875,0.204893261,0.102499999
77,0.068996109,0.678125024,0.208783492,0.092500001
78,0.067588322,0.685156226,0.21070312,0.094999999
79,0.067387655,0.693750024,0.205640376,0.094999999
80,0.068038806,0.684374988,0.204622477,0.090000004
81,0.065415867,0.711718738,0.20701842,0.102499999
82,0.067977875,0.672656238,0.209269062,0.100000001
83,0.065166958,0.696093738,0.210533679,0.092500001
84,0.062915057,0.728906274,0.211482048,0.094999999
85,0.062614404,0.708593726,0.222482622,0.090000004
86,0.065831587,0.712499976,0.212826401,0.097499996
87,0.062456585,0.701562524,0.222169578,0.087499999
88,0.062123965,0.728906274,0.211181432,0.067500003
89,0.061135434,0.73046875,0.222443715,0.077500001
90,0.062071335,0.71875,0.220233724,0.085000001
91,0.058598481,0.744531274,0.218475699,0.082500003
92,0.059390943,0.7265625,0.225909799,0.094999999
93,0.057277102,0.742968738,0.229299679,0.079999998
94,0.059072684,0.721875012,0.228831574,0.075000003
95,0.058929127,0.737500012,0.223723978,0.097499996
96,0.05646234,0.747656226,0.236663952,0.079999998
97,0.057031475,0.747656226,0.231080055,0.100000001
98,0.055900019,0.764062524,0.230248645,0.072499998
99,0.056860548,0.7734375,0.226128593,0.092500001
100,0.055407625,0.749218762,0.2298,0.077500001
