,loss,accuracy,val_loss,val_accuracy
1,3.363388777,0.041015625,3.324663401,0.057500001
2,3.287296295,0.050390624,3.324899197,0.072499998
3,3.284861088,0.066015624,3.248680353,0.077500001
4,3.294710875,0.075781249,3.219890118,0.064999998
5,3.268907547,0.078125,3.266151667,0.050000001
6,3.185945034,0.084375001,3.226150513,0.055
7,3.122355938,0.095703125,3.254626989,0.050000001
8,3.01207757,0.095703125,3.261599779,0.077500001
9,2.924991608,0.123046875,3.316879988,0.072499998
10,2.855751276,0.127343744,3.307804823,0.059999999
11,2.690224171,0.148046881,3.367808819,0.07
12,2.613627195,0.168359369,3.344599724,0.0625
13,2.475464821,0.201562494,3.381814003,0.072499998
14,2.332757711,0.227343753,3.481936693,0.055
15,2.233534575,0.232031256,3.486935377,0.072499998
16,2.086715937,0.259375006,3.580589294,0.055
17,1.978939295,0.287109375,3.623928547,0.0625
18,1.91392827,0.296484381,3.628894567,0.0625
19,1.843461633,0.329687506,3.684094429,0.0625
20,1.715271354,0.341406256,3.758624792,0.0625
21,1.643411636,0.376562506,3.827650547,0.055
22,1.637021422,0.374609381,3.829556227,0.057500001
23,1.587514281,0.391015619,3.876986027,0.059999999
24,1.522612691,0.41015625,3.967698574,0.055
25,1.397186637,0.439843744,3.895464897,0.050000001
26,1.374421477,0.44921875,4.08178854,0.0625
27,1.317044497,0.455859363,4.186610699,0.055
28,1.272361636,0.469531238,4.118468761,0.064999998
29,1.260071278,0.498437494,4.263662338,0.064999998
30,1.191968322,0.501562476,4.18686533,0.0625
31,1.195115685,0.506640613,4.231256485,0.059999999
32,1.162657738,0.516406238,4.491598129,0.067500003
33,1.076305509,0.536718726,4.556589603,0.07
34,1.062795162,0.548046887,4.491137981,0.079999998
35,0.984183967,0.564062476,4.52954483,0.075000003
36,1.025773406,0.565625012,4.619038105,0.077500001
37,0.903900921,0.597265601,4.610796928,0.067500003
38,0.922229886,0.596875012,4.73690176,0.082500003
39,0.963960528,0.600781262,4.800970554,0.0625
40,0.877486348,0.618749976,4.892017841,0.075000003
41,0.893999577,0.62109375,4.864844799,0.064999998
42,0.903107345,0.614453137,4.978121758,0.067500003
43,0.835091472,0.637890637,5.033549309,0.072499998
44,0.832420528,0.645703137,5.17966795,0.057500001
45,0.828783512,0.657031238,5.097371101,0.072499998
46,0.807413876,0.657812476,5.03879261,0.07
47,0.768801689,0.662500024,5.091654778,0.075000003
48,0.793259382,0.655859351,5.24104929,0.077500001
49,0.773898184,0.680859387,5.240180016,0.067500003
50,0.759069741,0.685156226,5.295011044,0.077500001
51,0.748363137,0.682812512,5.298254967,0.07
52,0.726713777,0.693359375,5.366444588,0.082500003
53,0.73584199,0.691796899,5.400436878,0.082500003
54,0.701414049,0.692578137,5.373413563,0.082500003
55,0.686270118,0.700781226,5.563539505,0.067500003
56,0.684713721,0.6875,5.525841713,0.059999999
57,0.649809718,0.723437488,5.700614452,0.082500003
58,0.638579249,0.725390613,5.731822014,0.075000003
59,0.688982546,0.714062512,5.611364365,0.077500001
60,0.586565435,0.737109363,5.787520885,0.079999998
61,0.650340378,0.744531274,5.787984848,0.0625
62,0.659750938,0.730859399,5.706711292,0.067500003
63,0.567749262,0.747656226,5.842212677,0.077500001
64,0.598520458,0.753125012,6.002134323,0.075000003
65,0.599879861,0.741406262,5.925814152,0.07
66,0.585879266,0.762890637,5.934405327,0.082500003
67,0.581338644,0.766015649,6.044224739,0.082500003
68,0.567955434,0.762499988,5.943174839,0.082500003
69,0.544575274,0.773828149,5.991095066,0.079999998
70,0.579906821,0.7578125,6.044221401,0.082500003
71,0.537626565,0.785546899,6.087617874,0.075000003
72,0.540694535,0.783984363,6.17860651,0.072499998
73,0.578697264,0.76953125,6.103130341,0.072499998
74,0.524155259,0.790624976,6.213177681,0.079999998
75,0.644962728,0.772265613,6.093719006,0.067500003
76,0.545658708,0.774999976,6.04494381,0.085000001
77,0.480475992,0.797265649,6.235996723,0.097499996
78,0.5165205,0.785937488,6.283217907,0.072499998
79,0.517073214,0.796093762,6.373671055,0.085000001
80,0.505879045,0.790624976,6.258285046,0.067500003
81,0.465986013,0.803906262,6.42286253,0.072499998
82,0.523095846,0.806249976,6.356725693,0.079999998
83,0.432781309,0.808984399,6.400676727,0.07
84,0.511609674,0.796484351,6.164471626,0.07
85,0.423398167,0.819921851,6.549433708,0.085000001
86,0.512384653,0.809765637,6.342218399,0.075000003
87,0.492004693,0.825781226,6.355165005,0.072499998
88,0.494143575,0.811718762,6.444327354,0.079999998
89,0.443383843,0.82421875,6.544941425,0.067500003
90,0.406582981,0.82421875,6.557238579,0.0625
91,0.431808949,0.824609399,6.522652626,0.0625
92,0.446501672,0.823046863,6.511513233,0.0625
93,0.451229632,0.82421875,6.571910858,0.067500003
94,0.41248256,0.844921887,6.747876167,0.064999998
95,0.425263107,0.834765613,6.676731586,0.064999998
96,0.424906582,0.829687476,6.64550972,0.059999999
97,0.497001022,0.817968726,6.687336922,0.0625
98,0.476882935,0.837890625,6.618535042,0.059999999
99,0.453935683,0.82421875,6.381566048,0.067500003
100,0.416031063,0.844140649,6.3434,0.0625
